ability;neurčitý člen;;
a.m./AM;ráno (čas);;
ability;schopnost;;
able;schopný;;
about;asi, kolem;;
above;nad, více než;;
abroad;v cizině;;
abuse;zneužití, nadávky;;
accelerate;zrychlit (se);;
accept;přijmout;;
accessible;přístupný;;
accident;nehoda, náhoda;;
accidental;náhodný;;
accompany;(do)provázet;;
accomplish;provést, dokázat;;
accountant;účetní;;
accuracy;přesnost;;
across;přes, na druhou stranu (něčeho);;
act;čin, skutek;;
action;děj, akce, boj;;
activity;činnost;;
actual;skutečný;;
add;přidat, sečíst;;
adjust;upravit, přizpůsobit;;
admit;uznat, vpustit;;
adult;dospělý;;
advanced;pokročilý;;
advertise;inzerovat, dělat reklamu;;
advertisement;inzerát, reklama;;
advice;rada, správa;;
affect;působit na, postihnout;;
afford;dovolit si, dopřát si;;
afraid;obávat se (čeho);;
after;po, za, později;;
afternoon;odpoledne;;
again;opět, znovu;;
against;proti;;
age;věk, stáří;;
agency;zastoupení, agentura;;
ago;před (časově);;
agree;souhlasit;;
agreement;souhlas, dohoda;;
ahead;kupředu;;
achieve;dosáhnout (čeho);;
aid;pomoc;;
aim;mířit, cíl;;
air;vzduch, povětří;;
alike;podobný, stejný;;
all;celý, všechen;;
allow;dovolit, umožnit;;
alone;sám;;
along;podél;;
already;už, již;;
also;také;;
although;ačkoli, I když;;
always;vždy;;
among;mezi (více než dvěma);;
amount;částka, množství;;
an;neurčitý člen před samohláskou;;
and;a;;
angry;rozzlobený;;
animal;zvíře;;
announce;oznámit;;
annual;roční, každoroční;;
another;jiný, další;;
answer;odpověď;;
anticipate;předvídat;;
anxiety;starost, úzkost;He caused his parents great anxiety.;
any;jakýkoli, nějaký, žádný (v záporu);;
anybody;někdo;Is anybody there?;
anything;cokoli, nic (v záporu);Don’t do anything until I get back.;
anywhere;kdekoli, nikde (v záporu);;
apart;stranou, odděleně, daleko;;
apartment;pokoj, byt;;
apologize;omluvit se;;
appetite;chuť k jídlu;;
application;žádost, použití;;
apply;žádat;;
appointment;schůzka;;
appreciate;oceňovat, uznávat;;
approach;přiblížení, přístup, příchod;The time is approaching, when you must leave home.;
approval;souhlas, schválení;Does the plan meet your approval?;
apporve;schválit;;
area;oblast;;
argue;přít se, dokazovat;;
architect;architekt;;
arm;paže;;
army;armáda;;
around;okolo, dokola;;
arrange;uspořádat, zařídit;;
arrive;přijet, přijít;;
art;umění, výtvarné umění;;
article;článek (novinový), člen (mluvnicky);;
as;tak, jako;I’m speaking to you as a friend.;
asleep;spící;He felt asleep during a meeting.;
assemble;shromáždit (se), montovat;;
assist;pomáhat;;
associate;společník, sdružit se;;
assume;domnívat se, předpokládat;;
assumption;předpoklad, domněnka;;
assure;ujistit;I assure you that he is safe with us.;
attack;útok;;
attempt;pokus, pokusit se;;
attend;účastnit se;;
attention;pozornost;Please pay attention to me.;
attic;půda (v domě);;
attitude;postoj, poměr, stanovisko;;
aunt;teta;;
author;autor, spisovatel;;
authority;autorita;;
average;průměrný;;
avoid;vyhnout se, vyvarovat se;;
awake;vzbudit (se), bdít;;
away;pryč;;
baby;nemluvně, kojenec;;
back;záda, vzadu, zpět;;
bad;špatný, zkažený, zlý, škodlivý;;
bag;taška, pytel;;
bake;péct;;
bakery;pekařství;;
balcony;balkón;;
ball;míč, ples;;
band;kapela;;
bank;banka, břeh, násep;;
base;základ, základna, být založen (na);;
basement;sklep;;
basket;koš;;
basketball;basketbal;;
bath;koupel;;
bathroom;koupelna;;
battery;baterie;;
be;být;;
beautiful;krásný;;
because;protože, poněvadž;;
become;stát se (něčím);I want to become a teacher.;
bed;postel;;
bedroom;ložnice;;
beef;hovězí;;
beer;pivo;;
before;předtím, před (časově);;
beforehand;předem;You will have to tell me beforehand.;Budeš mi to muset říct předem.
begin;začít;;
behaviour;chování;She was ashamed of his behaviour.;Styděla se za jeho chování.
behind;vzadu, pozadu;The others are a long way behind.;Ostatní jsou pořádný kus cesty vzadu.
believe;věřit, domnívat se;;
bell;zvonek, zvon;;
belong;náležet, patřit;;
below;pod, dole;;
belt;pásek;;
bend;ohnout, oblouk;The tree was bending in the wind.;Strom se ohýbal ve větru.
beside;vedle, u;;
best;nejlepší, nejlépe;;
better;lepší, lépe;;
between;mezi (dvěma);;
beyond;na druhé straně, za;The road continues beyond the village.;Cesta pokračuje za vesnící.
bicycle;kolo (jízdní);I ride my bicycle everywhere.;Všude jezdím na kole.
big;velký;;
bill;účet (útrata);I will pay the telephone bill.;Zaplatím ten telefonní účet.
biology;biologie;;
birthday;narozeniny;;
bite;kousat;;
black;černý;;
blanket;pokrývka, deka;May I have an extra blanket?;Mohu dostat deku navíc?
block;špalek, blok, zablokovat;;
blood;krev;;
blouse;blůza, halenka;;
blow;foukat;;
blue;modrý;;
board;rada (sbor), prkno;;
boat;člun, loď;;
body;tělo, těleso, orgán;;
bone;kost;;
book;kniha, rezervovat;;
bookshop;knihkupectví;;
boot;bota (vysoká);Take good boots with you for the trip.;Vezměte si na výlet dobré boty.
border;okraj, pohraničí, hranice (států);;
bored;znuděný;;
born;narozený;;
borrow;vypůjčit si;Could I borrow your bicycle?;Mohl bych si vypůjčit tvoje kolo?
boss;pán, šéf, vedoucí;;
both;oba;;
bottle;láhev;;
bottom;dno, spodek;;
boutique;obchůdek, butik;;
bowl;mísa, číše;;
box;krabice, bedna, boxovat;;
boy;chlapec;;
boyfriend;snoubenec, přítel (partner);;
brand;značka, druh, zboží;Which brand do you prefer?;Kterou značku preferuješ?
branch;větev, pobočka;;
bread;chléb;;
break;zlomit, rozbít;;
breathe;dýchat;;
bricklayer;zedník;;
bridge;most, překlenout;;
brief;krátký, stručný, sdělit informaci;;
briefcase;kufr, kufřík, aktovka;;
bright;jasný, bystrý;;
bring;přivést, přinést;;
brush;kartáč, kartáček;Sheila has a blue toothbrush.;Sheila má modrý kartáček na zuby.
budget;rozpočet;;
build;stavět;;
building;budova;;
burn;hořet;;
bus;autobus;;
business;podnikání, obchod, podnik;;
businessman;podnikatel;;
busy;zaměstnaný, rušný;;
but;ale, avšak, jenom;;
butcher;řezník;;
butter;máslo;;
buy;koupit;;
by;u, vedle, kolem, pomocí;;
bye;nashledanou, ahoj;;
cafe;kavárna;;
calculate;počítat, vypočítat;;
calendar;kalendář;;
call;volání, nazývat;;
calm;tichý, klidný;The city is calm today after yesterday’s riots.;Město je dnes klidné po včerejších nepokojích.
can;plechovak, umět, moci;;
cancel;zrušit, odvolat;;
capital;hlavní město;;
car;auto, vůz;;
